                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6534,                 1.7764,                 1.4502,                0.45986,                0.26282,                0.26488,                0.11953,                 1.9654,                 2.2637,                 1.7155,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.6868,                  1.776,                 1.4742,                0.34133,                0.33737,                  0.293,                0.12361,                 2.2063,                 2.4995,                 1.9207,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.6946,                 1.7961,                 1.4594,                0.36439,                0.23596,                0.25677,                0.11389,                 2.1239,                 2.3593,                  1.818,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.7089,                 1.8421,                 1.4681,                0.42414,                0.32032,                0.27084,                0.12114,                 2.1063,                 2.3584,                 1.8103,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.6205,                 1.6902,                 1.4346,                0.38204,                0.32924,                0.26664,                0.13298,                 2.0039,                 2.3954,                 1.7968,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.6352,                 1.7084,                 1.4263,                0.36938,                0.30863,                0.27483,                0.12564,                 2.1174,                 2.3857,                 1.8304,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.5623,                 1.6866,                 1.3817,                0.33587,                0.30185,                0.27283,                0.12949,                 2.0807,                 2.4207,                 1.7911,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.7072,                 1.8106,                 1.4616,                0.35175,                0.24795,                0.22902,                0.11217,                 2.2097,                 2.4658,                 1.8859,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6035,                 1.6508,                 1.4108,                0.42939,                0.28401,                 0.2769,                0.12575,                 2.2367,                 2.2764,                 1.8808,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.5734,                 1.5338,                    1.4,                0.39712,                0.29723,                0.29666,                0.13224,                 2.2494,                 2.2168,                 1.9207,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.5929,                 1.5497,                 1.3888,                0.45059,                0.35999,                0.33179,                0.15523,                 2.1359,                 2.0854,                 1.7916,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.6589,                 1.6552,                 1.4606,                0.42729,                0.36891,                0.31903,                0.15164,                 2.1202,                  2.201,                 1.7874,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.6366,                 1.4514,                 1.5042,                0.38056,                0.36176,                0.31412,                 0.1542,                 2.1303,                 2.2507,                  1.769,              0.0001817,              0.0001817,              0.0001817
                     47,                   1.55,                 1.5541,                 1.4107,                0.46009,                0.32781,                0.31118,                0.15076,                 2.1558,                 2.1872,                 1.7669,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.4652,                 1.3861,                 1.3342,                0.46989,                0.35629,                0.31852,                0.14652,                 2.1408,                 2.1714,                 1.7599,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.3866,                 1.4221,                 1.2782,                0.50652,                0.32592,                0.31067,                0.14984,                 2.1448,                 2.2171,                 1.7592,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.4796,                 1.4471,                 1.3565,                0.47622,                0.35048,                0.31912,                0.15276,                 2.1021,                 2.1963,                 1.7366,             4.9677e-05,             4.9677e-05,             4.9677e-05
